from,to
1,5
1,7
1,29
1,45
2,3
2,6
2,31
2,52
2,90
3,29
3,51
3,74
3,90
4,13
4,55
4,86
5,24
5,31
5,71
5,84
6,7
6,30
6,44
6,55
6,60
6,81
7,11
7,18
7,54
7,64
7,79
7,93
8,16
8,46
8,47
8,52
8,90
9,24
9,39
9,45
9,50
9,54
9,67
9,77
10,37
10,43
10,45
10,46
10,75
11,36
11,53
11,63
11,64
11,68
11,87
12,44
12,66
13,47
13,50
13,52
13,53
14,30
14,40
15,17
15,33
15,44
15,53
15,89
16,40
16,42
16,51
16,56
16,59
16,64
16,94
17,66
17,77
17,96
18,39
18,41
18,43
18,72
18,84
18,98
19,24
19,41
19,89
20,21
20,32
20,57
20,58
20,76
21,31
21,32
21,41
21,51
21,72
21,77
21,80
21,92
21,94
22,28
22,55
22,61
22,75
23,28
23,38
23,59
23,72
24,25
24,36
24,45
24,81
24,88
25,35
25,71
26,30
26,62
26,63
26,98
27,88
28,42
28,76
28,79
29,33
29,45
29,61
29,67
29,70
29,81
29,93
30,36
30,53
30,59
30,88
31,54
31,63
31,64
31,78
31,80
31,90
32,41
32,77
33,43
33,58
33,65
33,73
33,77
33,93
33,99
34,39
34,72
35,46
35,55
35,85
35,94
35,98
36,95
36,98
37,38
37,42
37,47
37,63
37,89
37,99
38,99
39,46
39,98
40,46
41,51
41,54
41,65
41,73
42,50
42,54
42,55
42,56
42,65
42,74
42,81
42,82
43,76
43,98
44,49
44,59
44,68
44,90
45,100
46,61
46,88
46,92
46,100
47,69
47,85
48,62
48,86
48,96
49,67
49,68
50,59
50,71
51,53
51,64
52,63
53,61
53,69
53,80
53,83
54,59
54,66
54,75
54,78
54,89
54,94
54,100
55,70
55,91
56,64
56,88
57,67
57,69
57,83
58,95
58,98
59,77
59,85
60,74
60,78
61,73
61,82
61,93
62,65
62,73
62,92
62,95
62,97
63,71
63,89
64,81
65,83
65,97
66,75
66,81
66,93
66,100
67,92
67,93
68,74
68,75
68,77
68,92
69,80
70,83
71,80
71,92
72,98
73,77
73,87
73,98
74,84
74,98
75,83
75,86
75,96
75,100
77,78
79,82
79,86
79,89
79,92
79,96
80,81
83,91
83,100
85,88
85,97
85,98
87,94
88,93
91,96
98,99
